ID,Name,Position,Company,qr_encrypted,EncryptedQR
1,Pedro Flores,Sales Associate,FutureLink,gAAAAABoUsiRl9jBpFapYemoy24hCzev3jKziTc22l9uIycfXbrOsSJQjk9LLs7v5zJAXObp3U4sgvhSxbNf40w5s1EpXLYGK77W9PrATeVULv_TnSZDDG5KFJwm1LFsjRZH5MoicuDH-VER4Y8xWQZmmZOXPY9g9J4Fr7jp-fi4t4OvVcNCATg=,gAAAAABoUtfmZfOci6w6-Iivni90kfRxjJCFGMfNGWxUTZbT7I8WIMcFEFpPxIUYrJZFCvBSMOCZzBLIUt0uD1Gl7T8rDjnGTHOxdJkmzh1XGwds8sFTF0dOdjWsoNIgoKkUuReqdMuO-ZC_EBfi3ujF45APi8bRQoLggBaH5ZUYXULc37ZErNo=
2,Maria Castro,IT Assistant,TechSolutions Inc.,gAAAAABoUsiREhFGJkidWmI2-2qg5fT_tkAXLQtaaMvSEhuAuInbyqXins4V6xCRlpqlbzKSBbm_XvZiL9OUyyax_hS7Ea4vgyZUpifIzq4qTRaGLC-CP7hITDrmuWKrlBGy7HvWNk7pXIAUjBg7fms9rnv0cykbudT2jxx1DnEyDK57Nvd0T10=,gAAAAABoUtfmzVYrHbq7I-L_iueCNpnlrdMOkf5CifYk5BEvB5G5JzTfxyQ-jSuSAmM49k-NSQEPxQ96THQn6JvTuVauzNmEdZhLn-xY2ucFFs6BnRkLI9KV9PD1tbAQrJ_gVVHAyKbByifaL8WCtOd5jmycnt-j3CnQtkVoU2erFl_IX2dnQOc=
3,Juan Ramos,Sales Associate,FutureLink,gAAAAABoUsiRs-A6NrYZPzbctnwWpguI3Ox6XGBYcVqOiXjwEITQwLgQTzCeSw98EZTrXFGdJ3wMHa33uk22BHB-qIdvwOQmro0tJHpeuAAR9Mb0jPr6NR-EaWRASiSmPvzfgYwocMEt5J0iqdijssNpCvFnLc0aETcFPiRbrrSH_lYDQkS1wQo=,gAAAAABoUtfmXwxBa-K9iCcyQ5k9DzMZHsbPDWP3x7yz-QRGFwFxO4ZynexzWBB4rrQ4V1Z_fc5tcN_O_X_-72xPTe__t6NupU3eLNlUE9E5jWgaRrb42IMxyPrXEqjGM17yITt1iRwRcsYHsLfhdLaVfxyEH0zYqVlNLzmRgPRV6FPBRsY1UIQ=
4,Maria Flores,Admin Staff,FutureLink,gAAAAABoUsiRZuv8edxe89w8TfXiOttbRfcCEB6gfVLg-YZeLFi1Lqtjbzj_hbUtLzXQjOR4XgzRA7eKA8_0myTckNuNbGpmhZWAOk32ygdS00ua4v9Wm7JUhvwZE5jH36WzU-smv6nPL7OPUCyo_Kgdx3sMihcSxfyot7uHj9koQ-uGbNxBFZk=,gAAAAABoUtfm8vovFH31wNfEx0iooMQAbfIpkzdFQ6NQxTulx-SNeM-DkQyaTSUVA-pAHkvUx6sOsaxljXfHiloCcMQ4x9CoiMSI6AM4vAlklVDMJnPS-4AroiKM88SFApH1C7WckgyovWpTFJmGj6CRt894P_xlPbZZw6FeRQkxwwZz1EdtNDw=
5,Luisa Flores,Data Analyst,GlobalCorp,gAAAAABoUsiRLMr0cSJjyrnpJwz0UkIiBRi75pP5FoBUYP6bDSP6D2yPRf8AvyPSKzP6wIdAo9kiZNiTKo2zyYxa-Nk4FHwt9DVVhrfVlGnuEktS9nAf6MC8FWeCM7K-GavfQjTMeniboNyb7uNAjmNc-ARSKbFyBfZ8XpDsozl72luRkN3BFqs=,gAAAAABoUtfm3BfQQpHLHZGzRhp0t-NpBEBFWv-kx6yBOHfQgYDxD-0GHrvYraFV0jBf27NPXyvkA8PgTYetSVUlD-ohjawGoncKwjp9etubtVJq4BejuoOHVgbbAfijkGKnFyKlPSKd6F1zeSFRNZy4hnSLnVRQPswajjzX1Bfl_yhphZfDSEw=
6,Luisa Castro,Admin Staff,SecureSoft,gAAAAABoUsiRw88OQ0Ob-lCIX9-qWzM5FUGdVdAogTLaSHzBHjBbKq4q3s5ZUD1Yzh1Y6tNl8Cw55K4e_ZAQ68NT8NrbM2ArQoG_6UBd7FhJMPnppZNhmPDr3OrBzE7st84YTcE1ZqeDR8sapTrrVI5xCqOl5rFAyYyXebWjNcUzsoWCcWhMegk=,gAAAAABoUtfmO5xdcL3NToQPQBYd8rPN40d8OAxbiGP5D3oCrpndNTPpLeDkmJK9t_bIJE7dU7B5AHDp9_UriQUOIe08z4pAPTz1XTpp5uckxrhiyeYv81dlZvK1ce0VD-Xq5QPmbaz-kIHOxvYcPo9wccuw-Q4jMIZthPeIgOmNi72aaxHU-Rc=
7,Juan Flores,Developer,SecureSoft,gAAAAABoUsiRX-8m8WvfoNKwbJj3ye1LTQvCULvLvets73puPErTuo-vfsFO5jKy-ACmCTwT9gleXGodqGtsflEuS4mt5xMfYLJM0SszE_MO5sSXdQ9NMh_wgZCJpTxf8iQA9afpjKGTQY9A6ZTNCC_vlHsVbVkSNg==,gAAAAABoUtfmZbKKQBt9vjvvTiUrDS40niRmIifw4ZPqC_0ahhCqdtyDT_6LhEkZdhmUCSlQqwo6q1ggQA6xnUuriLTXtrUI4HpJd-cdvEguTuWwZ_Hq5Of6pAjDpnMQ1jToA3jMlMuhtkGJ7RHiviKzLLzeI7EFzw==
8,Juan Reyes,IT Assistant,Innovatech,gAAAAABoUsiRKFFEZNwRFdBHgYHX72o0_61b7zMZbJDUnmz-GJcKEOTpn2tlZGPJv1EhOpdt3wqSocV4xxrP3puvrTSL2dhG5f3iNC8cI77XbZU-E7lTOAinYbdy6-EGIIu3lKOQDUAxJEZFYud84iMt7fBChZqPvg==,gAAAAABoUtfmgPa9AUFNn-w7ZRuAyyzM4rofJdSOpIX53KY6O6B_iEDoXXTLrcigWGwxt5-0z4v0GCsK_EsqhSgH8E7DF5K6a2k155TNpICnvTSxdqy_yKXFby_9D9XenRTWzEHnKFV67zwmYOzO5Q6LitJsdKCopA==
9,Rosa Flores,HR Specialist,NextGen Systems,gAAAAABoUsiRDpjd0tVxhbZ612FlAOXq1xvZdFnuX4BsNeV_00lR2F0Kj1tz0zVDzvsZmWv7Ozb_8w2mt3wbyEZpHDVY3I2f5EUWD1rfBqDgzLNoWBTup0q5_xX5prsWkX0DGQa-zD2QWRxpzYy4Q6DFG5vmW8mRGWISr7AYZJ3xzcXaM7me9Eo=,gAAAAABoUtfmK14c62Os2EDlGhhgFwxsXG8bSNaqWjT-rh7JoQcz6cgg8SGT-625dcxDJ-gPuggCvJwC-bcjKu8v9XxDXZXW3y34sqAHa-8tb84MwQ1--7ZWtjLDeoTwa3Yb_XlllhH6U6F9qLSzP8vKbHOGjrXAtAEKxbOrC4kNS54TmisvSRI=
10,Jose Dela Cruz,Admin Staff,WebWorks,gAAAAABoUsiRojyt_BD5ZktwGVxgZlcnBIhKMh3hJaKrzRODgoSNUjG3O9SdgTnKD7z0UiEDM2mJMQ9TYOMa5RUnxZRargK-5ygOkeg8JXYOWaqb74tJHCWB7aJx7PnlII4KvQsc3hOa8FCwSa6VnCoHEOgyv-r9HJe4olNGEP2oNLuTxsS4hXw=,gAAAAABoUtfmtmkH6FFXVXc0a7mtHVeQjpFwdaIOa6rk7oQjacMU9pqgtmc4TIil4m92d7968APzUGN8itzbAaOOGYjr7jMwbyboJ5V5zllm7VEmiXWFclPKwmJiftpV0wQIxRjdHnxFjmwPoQVEhDi7XeUxZPs2d_MJV4RjCYNdZ-4w-B0oUd4=
11,Juan Lopez,Engineer,NextGen Systems,gAAAAABoUsiRL5GYgdCpefPAzqL6TkEWvg_J1vRz8cKuP_zyOftZ1jryNsh8xxHaTI_181klSmtrs5yCqSFSEvp5gUQu9edLDRJGD19ylymlCmXpHKGpIayyV7PoBJm3PzhmxJDRRlNBalSRl3aT1GK3Ka2xsoYM1CFPZUon2izeKi35pSci48g=,gAAAAABoUtfmV6JcjiS_bxt5AY6EeRfQcn6uLgx3dOfKzTb4Zy2PfP6HparsvcnTvodtpJhhlM3R6s5lhFuMphvM-4dJh2KPFLGbKNKT6s6b23xZBrsm3SL74ZWJo6mFiwntWj0HmSgINOlfBu5fJ2r-1UrBgaxEIw54fmJLnwgWUvU46RyHBes=
